友家·首开熙悦山澜庭3居室-南卧 [房山长阳]房山线长阳   9.83㎡| 3/21层| 3室1厅  距房山线长阳站189米 有2间空房   离地铁近 集体供暖 友家4.0布丁     ￥1590(每月)  查看更多  
友家·天通西苑三区5居室-南卧 [昌平天通苑]5号线天通苑   27㎡| 7/14层| 5室1厅  距5号线天通苑站273米   离地铁近 独立阳台 集体供暖 友家4.0木棉     ￥2560(每月)  查看更多  
友家·天宫院小区3居室-南卧 [大兴大兴其它]4号线生物医药基地   17.5㎡| 5/18层| 3室1厅  距4号线生物医药基地站674米   离地铁近 独立阳台 集体供暖 友家4.0木棉     ￥2290(每月)  查看更多  
友家·首开熙悦山熹园3号院3居室-南卧 [房山长阳]房山线长阳   10.1㎡| 12/21层| 3室1厅  距房山线长阳站527米 有2间空房   离地铁近 独立阳台 集体供暖 友家4.0木棉     ￥1830(每月)  查看更多  
友家·天宫院小区3居室-南卧 [大兴大兴其它]4号线生物医药基地   19.9㎡| 14/18层| 3室1厅  距4号线生物医药基地站674米   离地铁近 独立阳台 集体供暖 友家4.0木棉     ￥2260(每月)  查看更多  
友家·中建国际港4居室-南卧 [大兴西红门]4号线枣园   14㎡| 29/33层| 4室1厅  距4号线枣园站99米   离地铁近 独立阳台 集体供暖 友家3.0布丁     ￥2590(每月)  查看更多  
友家·首创紫悦台3居室-南卧 [房山良乡]房山线良乡大学城   12.11㎡| 5/18层| 3室1厅  距房山线良乡大学城站391米   离地铁近 集体供暖 友家4.0拿铁     ￥1630(每月)  查看更多  
友家·首创紫悦台3居室-南卧 [房山良乡]房山线良乡大学城   12.1㎡| 6/14层| 3室1厅  距房山线良乡大学城站391米 有2间空房   离地铁近 集体供暖 友家4.0拿铁     ￥1630(每月)  查看更多  
友家·首创紫悦台3居室-南卧 [房山良乡]房山线良乡大学城   12.1㎡| 4/16层| 3室1厅  距房山线良乡大学城站391米 有2间空房   离地铁近 集体供暖 友家4.0拿铁     ￥1630(每月)  查看更多  
友家·瑞雪春堂3居室-南卧 [房山房山其它]房山线良乡南关   13.31㎡| 3/15层| 3室1厅  距房山线良乡南关站686米 有2间空房   离地铁近 独立阳台 独立供暖 友家4.0拿铁     ￥1490(每月)  查看更多  
友家·首创紫悦台3居室-南卧 [房山良乡]房山线良乡大学城   13.4㎡| 5/16层| 3室1厅  距房山线良乡大学城站391米 有2间空房   离地铁近 集体供暖 友家4.0布丁     ￥1760(每月)  查看更多  
友家·保利春天里2居室-南卧 [大兴黄村]4号线天宫院   11.1㎡| 26/30层| 2室1厅  距4号线天宫院站112米 有2间空房   离地铁近 集体供暖 友家5.0米苏     ￥2990(每月)  查看更多  
友家·田园风光雅苑4居室-南卧 [昌平回龙观]8号线平西府   16㎡| 3/6层| 4室1厅  距8号线平西府站138米 有2间空房   离地铁近 独卫 友家4.0拿铁     ￥3260(每月)  查看更多  
友家·保利春天里2居室-南卧 [大兴黄村]4号线天宫院   13.3㎡| 24/27层| 2室1厅  距4号线天宫院站112米 有2间空房   离地铁近 集体供暖 友家5.0米苏     ￥3030(每月)  查看更多  
友家·宏城花园3居室-南卧 [顺义顺义城]15号线石门   11.57㎡| 4/6层| 3室1厅  距15号线石门站307米   离地铁近 独立阳台 集体供暖 友家4.0米苏     ￥2360(每月)  查看更多  
友家·保利首开熙悦春天3居室-南卧 [大兴天宫院]4号线天宫院   11.38㎡| 4/26层| 3室1厅  距4号线天宫院站190米 有2间空房   离地铁近 集体供暖 友家4.0米苏     ￥1990(每月)  查看更多  
友家·保利春天里3居室-南卧 [大兴黄村]4号线天宫院   15.6㎡| 1/27层| 3室1厅  距4号线天宫院站112米 有2间空房   离地铁近 集体供暖 友家5.0木棉     ￥2490(每月)  查看更多  
友家·天宫院小区3居室-南卧 [大兴大兴其它]4号线生物医药基地   19.9㎡| 10/18层| 3室1厅  距4号线生物医药基地站674米 有2间空房   离地铁近 独立阳台 集体供暖 友家4.0木棉     ￥2390(每月)  查看更多  
友家·首创紫悦台3居室-南卧 [房山良乡]房山线良乡大学城   12.11㎡| 5/16层| 3室1厅  距房山线良乡大学城站391米 有2间空房   离地铁近 集体供暖 友家4.0拿铁     ￥1790(每月)  查看更多  
友家·首创紫悦台3居室-南卧 [房山良乡]房山线良乡大学城   12.1㎡| 2/16层| 3室1厅  距房山线良乡大学城站391米 有2间空房   离地铁近 集体供暖 友家4.0拿铁     ￥1730(每月)  查看更多  
友家·三环新城7号院4居室-南卧 [丰台玉泉营]10号线丰台站   14.8㎡| 20/29层| 4室1厅  距10号线丰台站站298米 有2间空房   离地铁近 独立阳台 友家4.0木棉     ￥2890(每月)  查看更多  
友家·首创紫悦台3居室-南卧 [房山良乡]房山线良乡大学城   13.85㎡| 11/17层| 3室1厅  距房山线良乡大学城站391米 有2间空房   离地铁近 集体供暖 友家4.0布丁     ￥1690(每月)  查看更多  
友家·首创紫悦台3居室-南卧 [房山良乡]房山线良乡大学城   13.3㎡| 9/17层| 3室1厅  距房山线良乡大学城站391米 有2间空房   离地铁近 集体供暖 友家4.0拿铁     ￥1660(每月)  查看更多  
友家·首创紫悦台3居室-南卧 [房山良乡]房山线良乡大学城   13.31㎡| 14/17层| 3室1厅  距房山线良乡大学城站391米   离地铁近 集体供暖 友家4.0拿铁     ￥1630(每月)  查看更多  
友家·首创紫悦台3居室-南卧 [房山良乡]房山线良乡大学城   13.33㎡| 7/17层| 3室1厅  距房山线良乡大学城站391米 有2间空房   离地铁近 集体供暖 友家4.0拿铁     ￥1690(每月)  查看更多  
友家·首创紫悦台3居室-南卧 [房山良乡]房山线良乡大学城   13.2㎡| 7/17层| 3室1厅  距房山线良乡大学城站391米 有2间空房   离地铁近 集体供暖 友家4.0米苏     ￥1690(每月)  查看更多  
友家·果园西小区3居室-南卧 [通州果园]八通线果园   16.55㎡| 4/7层| 3室1厅  距八通线果园站523米   离地铁近 独立阳台 集体供暖 友家4.0木棉     ￥2390(每月)  查看更多  
友家·保利春天里2居室-南卧 [大兴黄村]4号线天宫院   13.28㎡| 19/30层| 2室1厅  距4号线天宫院站112米 有2间空房   离地铁近 集体供暖 友家5.0木棉     ￥3190(每月)  查看更多  
友家·首创紫悦台4居室-南卧 [房山良乡]房山线良乡大学城   10.3㎡| 5/18层| 4室1厅  距房山线良乡大学城站391米 有2间空房   离地铁近 集体供暖 友家4.0布丁     ￥1530(每月)  查看更多  
友家·明发雅苑3居室-南卧 [大兴天宫院]4号线生物医药基地   17.8㎡| 4/26层| 3室1厅  距4号线生物医药基地站397米 有2间空房   离地铁近 集体供暖 友家4.0木棉     ￥2090(每月)  查看更多  
友家·中建国际港4居室-南卧 [大兴西红门]4号线枣园   10㎡| 29/33层| 4室1厅  距4号线枣园站99米 有2间空房   离地铁近 集体供暖 友家4.0布丁     ￥2230(每月)  查看更多  
友家·天通西苑一区4居室-南卧 [昌平天通苑]5号线天通苑南   33.4㎡| 6/13层| 4室1厅  距5号线天通苑南站238米 有2间空房   离地铁近 独卫 集体供暖 友家4.0拿铁     ￥4730(每月)  查看更多  
友家·三环新城7号院4居室-南卧 [丰台玉泉营]10号线丰台站   12.2㎡| 20/29层| 4室1厅  距10号线丰台站站298米 有2间空房   离地铁近 独卫 独立阳台 友家4.0拿铁     ￥3360(每月)  查看更多  
友家·黄村西里3居室-南卧 [大兴黄村]4号线黄村西大街   15.5㎡| 5/5层| 3室1厅  距4号线黄村西大街站372米   离地铁近 独立阳台 集体供暖 友家4.0拿铁     ￥2130(每月)  查看更多  
友家·黄村西里3居室-南卧 [大兴黄村]4号线黄村西大街   15.6㎡| 5/5层| 3室1厅  距4号线黄村西大街站372米   离地铁近 独立阳台 集体供暖 友家4.0拿铁     ￥2160(每月)  查看更多  
友家·保利首开熙悦春天2居室-南卧 [大兴天宫院]4号线天宫院   11.06㎡| 9/27层| 2室1厅  距4号线天宫院站190米 有2间空房   离地铁近 集体供暖 友家4.0米苏     ￥2490(每月)  查看更多  
友家·首创紫悦台3居室-南卧 [房山良乡]房山线良乡大学城   12.15㎡| 11/17层| 3室1厅  距房山线良乡大学城站391米 有2间空房   离地铁近 集体供暖 友家4.0拿铁     ￥1660(每月)  查看更多  
友家·首创紫悦台3居室-南卧 [房山良乡]房山线良乡大学城   13.94㎡| 9/17层| 3室1厅  距房山线良乡大学城站391米 有2间空房   离地铁近 集体供暖 友家4.0布丁     ￥1730(每月)  查看更多  
友家·站前东街3居室-南卧 [顺义顺义城]15号线顺义   10.2㎡| 6/6层| 3室1厅  距15号线顺义站345米   离地铁近 独立阳台 集体供暖 友家4.0布丁     ￥1890(每月)  查看更多  
友家·新城阳光3居室-南卧 [通州梨园]八通线梨园   12.65㎡| 3/15层| 3室1厅  距八通线梨园站445米 有2间空房   离地铁近 独立阳台 集体供暖 友家4.0拿铁     ￥2430(每月)  查看更多  
友家·黄村西里3居室-南卧 [大兴黄村]4号线黄村西大街   10.7㎡| 2/6层| 3室1厅  距4号线黄村西大街站372米 有2间空房   离地铁近 独立阳台 集体供暖 友家4.0米苏     ￥1890(每月)  查看更多  
友家·新城阳光3居室-南卧 [通州梨园]八通线梨园   12.6㎡| 9/15层| 3室1厅  距八通线梨园站445米   离地铁近 独立阳台 集体供暖 友家4.0拿铁     ￥2390(每月)  查看更多  
友家·莲竹花园3居室-南卧 [顺义望京]15号线国展   12.8㎡| 6/6层| 3室1厅  距15号线国展站275米 有2间空房   离地铁近 独立阳台 集体供暖 友家4.0布丁     ￥2660(每月)  查看更多  
友家·莲竹花园3居室-南卧 [顺义望京]15号线国展   21.5㎡| 4/6层| 3室1厅  距15号线国展站275米 有2间空房   离地铁近 独立阳台 集体供暖 友家4.0木棉     ￥3290(每月)  查看更多  
友家·芭蕾雨悦都北区4居室-南卧 [房山长阳]房山线篱笆房   10.1㎡| 9/9层| 4室1厅  距房山线篱笆房站478米   离地铁近 独立阳台 集体供暖 友家4.0米苏     ￥1630(每月)  查看更多  
友家·首创紫悦台3居室-南卧 [房山良乡]房山线良乡大学城   13.36㎡| 7/16层| 3室1厅  距房山线良乡大学城站391米 有2间空房   离地铁近 集体供暖 友家4.0拿铁     ￥1560(每月)  查看更多  
友家·首创紫悦台3居室-南卧 [房山良乡]房山线良乡大学城   13.5㎡| 9/14层| 3室1厅  距房山线良乡大学城站391米   离地铁近 集体供暖 友家4.0木棉     ￥1590(每月)  查看更多  
友家·首创紫悦台3居室-南卧 [房山良乡]房山线良乡大学城   13.4㎡| 9/16层| 3室1厅  距房山线良乡大学城站391米 有2间空房   离地铁近 集体供暖 友家4.0米苏     ￥1530(每月)  查看更多  
友家·首创紫悦台3居室-南卧 [房山良乡]房山线良乡大学城   13.36㎡| 14/16层| 3室1厅  距房山线良乡大学城站391米 有2间空房   离地铁近 集体供暖 友家4.0拿铁     ￥1560(每月)  查看更多  
友家·首开熙悦山熹园1号院4居室-南卧 [房山长阳]房山线长阳   10.9㎡| 8/9层| 4室1厅  距房山线长阳站501米   离地铁近 独卫 集体供暖 友家4.0拿铁     ￥2360(每月)  查看更多  
友家·金地朗悦沁园3居室-南卧 [房山良乡]房山线良乡大学城北   14㎡| 5/6层| 3室1厅  距房山线良乡大学城北站978米 有2间空房   离地铁近 独立阳台 集体供暖 友家4.0木棉     ￥1590(每月)  查看更多  
友家·彩虹新城3居室-南卧 [大兴黄村]4号线枣园   18.4㎡| 14/16层| 3室1厅  距4号线枣园站384米   离地铁近 独立阳台 独立供暖 友家4.0木棉     ￥2360(每月)  查看更多  
友家·首创紫悦台4居室-南卧 [房山良乡]房山线良乡大学城   10.4㎡| 16/18层| 4室1厅  距房山线良乡大学城站391米 有2间空房   离地铁近 集体供暖 友家4.0布丁     ￥1530(每月)  查看更多  
友家·保利首开熙悦春天2居室-南卧 [大兴天宫院]4号线天宫院   10㎡| 18/27层| 2室1厅  距4号线天宫院站190米 有2间空房   离地铁近 集体供暖 友家4.0米苏     ￥2590(每月)  查看更多  
友家·博客园3居室-南卧 [通州乔庄]6号线北运河西   14.2㎡| 3/11层| 3室1厅  距6号线北运河西站638米 有2间空房   离地铁近 独立阳台 独立供暖 友家4.0木棉     ￥2390(每月)  查看更多  
友家·K2玉蘭湾4居室-南卧 [通州通州其它]八通线九棵树   14.65㎡| 15/27层| 4室1厅  距八通线九棵树站279米   离地铁近 独卫 集体供暖 友家4.0拿铁     ￥3230(每月)  查看更多  
友家·首创紫悦台3居室-南卧 [房山良乡]房山线良乡大学城   12.11㎡| 13/18层| 3室1厅  距房山线良乡大学城站391米   离地铁近 集体供暖 友家4.0拿铁     ￥1530(每月)  查看更多  
友家·首创紫悦台3居室-南卧 [房山良乡]房山线良乡大学城   12.11㎡| 12/16层| 3室1厅  距房山线良乡大学城站391米   离地铁近 集体供暖 友家4.0拿铁     ￥1560(每月)  查看更多  
